#pi_inter=pi pi_intra=pa nb_ra=nb_intra nb_er=nb_inter
#ID   	#subsets 	#subsets w/rec	dist     	Pi_i/Pi_a	Pi_inter	Pi_intra	#inter	#intra	pval
0    	67   	67   	0.000000	0.000184	0.000000	0.000000	0	36	1.000000e+00
1    	48   	48   	0.001604	8.787571	0.001613	0.000184	36	3	6.586826e-01
2    	47   	47   	0.001622	9.231501	0.002710	0.000294	39	9	6.846307e-01
3    	45   	45   	0.001625	2.250190	0.001680	0.000747	48	9	5.069860e-01
4    	44   	44   	0.001630	1.853152	0.001656	0.000894	57	2	8.163673e-01
5    	43   	43   	0.001683	2.653535	0.002441	0.000920	59	9	8.043912e-01
6    	40   	40   	0.001685	2.597614	0.002912	0.001121	68	7	8.183633e-01
7    	39   	39   	0.001851	1.436696	0.001851	0.001288	75	1	1.000000e+00
8    	38   	38   	0.001900	1.469292	0.001904	0.001296	76	4	5.668663e-01
9    	37   	37   	0.003264	2.880021	0.003819	0.001326	80	3	7.684631e-01
10   	36   	36   	0.003517	3.419187	0.004842	0.001416	83	8	7.185629e-01
11   	35   	35   	0.003542	2.794548	0.004799	0.001717	91	6	2.095808e-01
12   	34   	34   	0.003748	2.704342	0.005160	0.001908	97	4	7.944112e-01
13   	33   	33   	0.004823	2.916989	0.005941	0.002037	101	6	6.866267e-01
14   	32   	32   	0.005199	3.025874	0.006825	0.002256	107	2	4.950100e-01
15   	31   	31   	0.005736	2.451971	0.005736	0.002339	109	1	1.000000e+00
16   	30   	30   	0.005747	3.623174	0.008588	0.002370	110	2	8.582834e-01
17   	29   	29   	0.006417	2.586185	0.006417	0.002481	112	3	2.814371e-01
18   	28   	28   	0.006565	3.014529	0.007790	0.002584	115	9	6.786427e-01
19   	27   	27   	0.006630	2.238451	0.006630	0.002962	124	1	1.000000e+00
20   	26   	26   	0.006953	4.300645	0.012864	0.002991	125	30	6.766467e-01
21   	25   	25   	0.007600	4.730275	0.023188	0.004902	155	26	6.786427e-01
22   	24   	24   	0.008269	2.744104	0.020660	0.007529	181	15	9.421158e-01
23   	23   	23   	0.009836	1.217542	0.010390	0.008534	196	5	1.516966e-01
24   	22   	22   	0.009967	1.161672	0.009967	0.008580	201	1	1.000000e+00
25   	21   	21   	0.010657	1.843899	0.015833	0.008587	202	21	2.175649e-01
26   	20   	20   	0.011858	1.279305	0.011858	0.009269	223	2	3.473054e-01
27   	19   	19   	0.013402	2.690132	0.024997	0.009292	225	12	3.512974e-01
28   	18   	18   	0.013970	2.937863	0.029635	0.010087	237	160	9.341317e-01
29   	17   	17   	0.015277	1.908339	0.034284	0.017965	397	208	9.940120e-01
30   	16   	16   	0.015281	1.652710	0.038964	0.023576	605	34	9.840319e-01
31   	15   	15   	0.020575	1.997878	0.048737	0.024395	639	35	9.680639e-01
32   	14   	14   	0.024353	1.664320	0.042704	0.025659	674	108	9.840319e-01
33   	13   	13   	0.024837	1.584017	0.044373	0.028013	782	156	9.920160e-01
34   	12   	12   	0.026610	1.699045	0.052218	0.030734	938	43	9.800399e-01
35   	11   	11   	0.030174	1.382973	0.043806	0.031675	981	88	9.940120e-01
36   	10   	10   	0.032027	1.573577	0.051415	0.032674	1069	46	9.920160e-01
37   	9    	9    	0.042432	2.083538	0.069688	0.033447	1115	47	9.361277e-01
38   	8    	8    	0.044789	1.896566	0.066215	0.034913	1162	336	9.700599e-01
39   	7    	7    	0.057015	1.895856	0.079501	0.041934	1498	55	9.580838e-01
40   	6    	6    	0.057610	1.806119	0.078141	0.043264	1553	56	9.800399e-01
41   	5    	5    	0.063301	1.855037	0.082509	0.044478	1609	171	9.820359e-01
42   	4    	4    	0.094883	2.616619	0.125943	0.048132	1780	60	8.303393e-01
43   	3    	3    	0.107112	2.638917	0.133712	0.050669	1840	305	8.443114e-01
44   	2    	2    	0.329525	5.699614	0.356095	0.062477	2145	66	1.017964e-01
